,word,freq,cfbetweenness,eigenvalue
1042,see,10,0.0031850326322505275,0.008233165339375377
78,should,15,0.0031808685459856103,0.014522243665391012
1973,eh,3,0.003173196466048704,0.00020289260032747616
5184,pun,2,0.0031373161030906482,0.0009355925442713689
332,did,8,0.0031291991110823773,0.00622634592145031
210,any,18,0.0031249626919294246,0.022126301608566875
3422,podemos,4,0.003123186260056039,0.00040276450032621574
1734,frente,3,0.00312197446275224,0.00033886542656718044
2144,contagio,5,0.0031141694309229557,0.0003658546885373847
2133,uribe,4,0.0031094966509006435,0.00036416052373231797
140,after,22,0.0031083151594556474,0.0168938856339571
1377,radio,3,0.0031035092709545114,0.002491644549580915
927,vacacionescine,11,0.003096741494589018,0.009465339986032018
459,each,11,0.0030831960865244797,0.01290063903488939
1204,well,14,0.0030714369307948746,0.011642722281173558
2375,mundial,4,0.003066938475417325,0.0004120802482932358
2315,instituciones,3,0.0030567551362572693,0.00040070184608544015
792,infectados,16,0.0030515003795496456,0.001481196191722171
334,before,11,0.003049934036660086,0.009320211105854468
3413,every,10,0.0030475122892175315,0.004710243426792875
4542,enfrentar,3,0.003042381251192598,0.00027355447138669353
3184,anuncio,5,0.003035337485242489,0.0003576393137541334
1897,palabras,2,0.003035055281343191,9.75810305066789e-05
1021,theyre,10,0.0030338338875098665,0.00980335776147783
2915,tum,2,0.0030130147729474765,0.00018995854588219353
2916,dunyada,2,0.003013014772946968,0.00018995854588219353
506,calling,10,0.003009704608726032,0.01170455109708246
1146,states,9,0.003004437269336581,0.01266982911244548
161,those,7,0.0030014292079402725,0.0076163060257862306
4034,pp,2,0.0029937801814390566,0.00012590624523197208
2118,red,7,0.002989132134799,0.006156902363204479
222,him,17,0.0029831742267310024,0.02115372856801074
291,times,8,0.002967983592192287,0.008799466515162249
150,positive,19,0.0029629410503255837,0.009672349799307447
834,mar,6,0.002961918543997236,0.0004681445859692939
2967,habia,4,0.002950550714068471,0.00014066060535406838
303,actual,2,0.002950296577336872,0.001563008594075679
2310,prevencion,4,0.0029434747583564572,0.0005761670758303548
2632,workers,8,0.0029367311902344637,0.006961499033651037
1737,vida,3,0.002929959065201562,0.0001904421092572815
129,kits,11,0.0029250116852650144,0.011306418212604627
1907,make,13,0.002906281970109595,0.01740500453779998
149,tests,33,0.0028859505100514832,0.02479303868567036
115,fase,3,0.0028791756929297326,0.00011347532059777206
1856,tan,3,0.002875491319109441,0.0002885187006358893
1391,cuenta,3,0.0028748457870183815,0.00031059392372067814
193,peor,4,0.0028695500634604433,0.0003492107567287349
5062,medicos,3,0.002863655023811237,0.00018027252147151428
2498,dicen,4,0.00284288466903487,0.00027049156864720325
558,ce,5,0.002839853725473821,0.00045519282969340295
1557,korea,2,0.0028378395097210588,0.0012407129109035383
2225,tak,5,0.0028299586999628234,0.00030415092825682383
638,doing,13,0.00281294413279057,0.014600929441791826
2314,sistema,3,0.0028074246281649257,0.0004768926515877462
1289,nih,2,0.0028039590559798193,0.0010064085208284432
713,propagacion,3,0.0028033939211888625,0.0003805019447286415
2599,falta,3,0.0027925655604747013,9.642490332876888e-05
624,would,13,0.00279118434293969,0.013304191990403136
549,weeks,13,0.0027887650261946752,0.009316304499703961
