,word,cfbetweenness,cfcloseness,eigenvalue
473,@hnordlaw311,0.00029610605425845453,0.0019372176599119213,0.041393247309831384
58,@AllectorB,0.0026466482549663524,0.0024954556235960144,0.04128743617852747
213,@McClaymore,0.00028933691663756236,0.0018886086913519648,0.041123971858478305
316,@Prisca84935656,0.00044334111593421187,0.0023216262148602214,0.04077865151646604
313,@TweetOrBTweeted,0.0002369031424082932,0.001693837882044877,0.040373043507357806
599,@mastermindyour2,0.000232811733941034,0.0016827065790984087,0.04010448584488055
734,@mwwwn201,0.0002630537303220373,0.0018109369111090348,0.03977923391999222
237,@CelestinoGutirr,0.0008351179239109197,0.0024633140571079935,0.03931771721350909
562,@Monica19815,0.000266576815343389,0.0018312347863652986,0.03924438848450276
767,@HernandezRRamon,0.00031912910287306616,0.0020544712581713823,0.039109665749520316
300,@TDivala,0.0007473671698670327,0.002244457935610204,0.03877006838567912
325,@MMennola,0.0002550627554406051,0.0017992355234712693,0.03843521367068544
688,@AmyMajor6,0.00027283107186531986,0.0018522111029070213,0.037431677127135306
543,@JM19712,0.0003067558917464504,0.0019747117159690094,0.03654335326676307
192,@LucianoMar50,0.0014507834247781376,0.0029827244178469918,0.03636546690059871
263,@JoseRafaelbenc2,0.0014507834247780254,0.002982724417847006,0.03636546690059871
306,@CadenasOlivar,0.0003544109342604165,0.0021173667264108003,0.03618586988595747
386,@AScribbledEagle,0.0003134266907183496,0.001968307419514273,0.036135035525292666
631,@CentiTiberio,0.0002692313839486779,0.0017994936014300513,0.03583274508712487
746,@stu0016,0.00035962014996810337,0.002129911715202086,0.03540396150231953
567,@elsafelce,0.0010615104008750602,0.002649837192432074,0.03515569964203714
302,@Arana631,0.0014660233350871617,0.0029876271293006176,0.03512410573487871
104,@PicardNicolas14,0.00022613871251700465,0.0017294260459251264,0.03498271667136644
233,@itskimfil,0.00035137999772142856,0.0021131314553160807,0.03474511550300857
662,@truthserum4all,0.006617962535657497,0.0023538976593106644,0.034598575249617874
605,@Kenan98548443,0.0003129146474304231,0.0020032480609608523,0.03450625626660823
773,@charleeparis,0.006618390161148766,0.0022121954127445544,0.03440754078401217
571,@breeze_paula,0.0003313955895633384,0.002108576673842591,0.03432338901872581
521,@AparisiJordan,0.0005286402465540871,0.002546688305015313,0.0343146548199605
309,@marcoSi13263512,0.0004171221754547485,0.002370013922345913,0.034160770439815
463,@3GoMigos,0.00031990783887267095,0.0020181710476654497,0.034056625621494634
216,@betterd43983711,0.0004715313253658207,0.0024079454036327096,0.03392178579522477
