,word,freq,cfbetweenness,eigenvalue
1589,tetap,5,0.0050508942464210895,0.005877278447396802
405,riesgo,5,0.005021729487437548,0.0049852187940572345
1708,informacion,6,0.0049721512919701375,0.010419521038092596
469,llega,5,0.004971762607376124,0.00960272677801957
111,idris,15,0.004965816295831928,0.03076434203628254
1068,protect,7,0.004949581112702464,0.013705069827993082
2209,control,4,0.004946805772314216,0.00495641424762635
112,elba,14,0.0049370492179105245,0.029135181345174378
1653,support,7,0.0049231648178491,0.013887620313800385
1564,testing,17,0.004922805403341126,0.04213290175837145
374,others,17,0.004895185034745573,0.09002266886373377
100,taking,13,0.004878517292392671,0.02924962285367126
2314,things,8,0.004834448501148181,0.011906181899183152
1194,yg,8,0.004821099887685502,0.009030833256988271
613,agua,8,0.004812207293438733,0.003551540382985352
2047,importante,5,0.00476741039232608,0.009379074223321172
37,coming,10,0.004765465222594484,0.013823114374691515
180,hes,7,0.004745807382494604,0.00937827096542954
1946,nacional,5,0.0047381757736384,0.006483767495015695
977,sick,9,0.00473441807568483,0.01737052618503663
1597,semua,4,0.0047179129160552025,0.004507889382659232
263,uma,8,0.00470905681741554,0.011091641387158626
1295,hoax,3,0.0046972476440916965,0.005698989222955949
1633,respuesta,3,0.00469093740612068,0.0011649521066945687
397,life,8,0.004685623646790916,0.015618705012177013
729,national,13,0.004684860132334256,0.024904659547118218
59,vote,17,0.004668770952506303,0.03070774834397168
556,yet,10,0.004664674065096643,0.01975280748502271
206,responsabilidad,5,0.004655439339522244,0.00994538216660225
2137,rumah,3,0.004600671939610117,0.0035389371318181443
706,american,14,0.0045988153869665075,0.042081883531592666
81,mundo,4,0.004591996208829769,0.009401067183398523
1141,lets,14,0.004575017164811059,0.03386416351165895
410,publica,3,0.004572154114888962,0.0019708454372916245
1969,san,6,0.004569171601084926,0.011408133187246912
72,around,20,0.004562175450198965,0.07081815977334897
794,decision,4,0.004554356447556662,0.00945133829950361
416,political,6,0.004553039733606045,0.011380627251236702
3102,task,4,0.004546763436531052,0.0077802654538004085
1115,well,14,0.004533976363623433,0.04172647433657495
166,tested,16,0.004533877924247989,0.026724029055710957
660,everyone,15,0.004533584705006545,0.03185137942129012
493,sa,3,0.004522915340524792,0.0018846446161614582
68,due,22,0.004520704161039024,0.0585878360236367
266,bolsonaro,5,0.004516590614313116,0.0056316238842052824
698,americans,8,0.004507243402605361,0.014173182977378351
2274,tonight,8,0.004489743341414023,0.012709727105674556
4633,sera,3,0.00447683150584771,0.0058199338766950735
2405,mejor,7,0.004456113702868066,0.01182850776729604
1209,tapi,3,0.004444861050197335,0.004046560441119579
774,use,4,0.0044408762416880436,0.0045452143966361715
622,paris,3,0.004436191725013582,0.004267815232581948
759,suspension,5,0.004432745309714474,0.009337555378919527
906,care,10,0.004413352188377017,0.017469505387035657
814,grande,4,0.004412231258108716,0.005547465082479105
34,risa,5,0.004410599989997215,0.003939637165900601
682,stop,8,0.004402171710547664,0.024884874567796415
530,cada,4,0.00438795050673598,0.00817936659282769
160,says,10,0.004378117806534889,0.0185798998759206
631,casi,4,0.00436422488553809,0.007250637488907461
104,america,9,0.0043432174538431505,0.019462552384351094
